timestamp,XS_ACTIVE_POWER_JIA,XS_ACTIVE_POWER_YI,XS_LIMIT_POWER,XS_ACTIVE_POWER_STATION,XYA_ACTIVE_POWER_JIA,XYA_ACTIVE_POWER_YI,XYA_LIMIT_POWER,XYA_ACTIVE_POWER_STATION,XYB_ACTIVE_POWER_BING,XYB_ACTIVE_POWER_DING,XYB_ACTIVE_POWER_WU,XYB_LIMIT_POWER,XYB_ACTIVE_POWER_STATION,YY_ACTIVE_POWER_JIA,YY_ACTIVE_POWER_YI,YY_LIMIT_POWER,YY_ACTIVE_POWER_STATION,ALL_ACTIVE_POWER_STATION
2024-07-18 11:00:00,117.59717,146.7268,400.0,264.32397,76.223885,74.246445,400.00003,150.47033,130.09874,123.10873,77.08714,900.00006,330.29461,103.87266,97.03257,0.0,200.90523,745.0889099999999
2024-07-18 11:15:00,131.70356180000002,151.468116,400.0,283.1716778,89.04330366666666,84.95960373333334,400.00003,174.0029074,135.76834733333334,138.713672,103.81693126666666,900.00006,378.2989506,110.69039846666666,107.20026193333334,0.0,217.8906604,835.4735358
2024-07-18 11:30:00,127.37334913333332,157.001698,400.0,284.37504713333334,95.98291446666667,84.39130973333334,400.00003,180.3742242,140.5901803333333,141.796618,109.96695853333334,900.00006,392.3537568666667,100.84991066666666,97.57751766666667,0.0,198.42742833333332,857.1030281999999
2024-07-18 11:45:00,120.83957273333334,143.493506,400.0,264.3330787333333,81.25324593333333,76.97034359999999,400.00003,158.22358953333332,122.41482266666667,127.2892154,89.44832073333333,900.00006,339.1523588,78.4409534,80.6858578,0.0,159.1268112,761.7090270666666
2024-07-18 12:00:00,89.56014846666667,112.66384433333333,400.0,202.2239928,67.12181573333334,56.48211713333333,400.00003,123.60393286666667,88.05040853333334,98.90825466666666,65.86093226666667,900.00006,252.81959546666667,52.41381786666667,53.9556974,0.0,106.36951526666667,578.6475211333333
2024-07-18 12:15:00,81.0076334,92.94960926666666,400.0,173.95724266666667,52.326638333333335,48.0859204,400.00003,100.41255873333333,63.41253686666666,75.71014313333333,52.421155,900.00006,191.543835,37.50629266666667,40.4340764,0.0,77.94036906666666,465.9136364
2024-07-18 12:30:00,63.47220033333333,75.41199233333333,400.0,138.88419266666668,57.16584566666667,48.802885266666664,400.00003,105.96873093333333,54.80067786666667,67.87435926666667,49.100350733333336,900.00006,171.77538786666668,34.698446266666664,35.806502933333334,0.0,70.5049492,416.6283114666667
2024-07-18 12:45:00,52.932306133333334,56.76252806666666,400.0,109.6948342,47.59557753333333,40.9476472,400.00003,88.54322473333333,51.1258984,73.39438486666667,60.802517800000004,900.00006,185.32280106666667,34.4381634,33.70253866666666,0.0,68.14070206666666,383.56086
2024-07-18 13:00:00,48.57674033333333,56.74011506666667,400.0,105.3168554,41.247488133333334,38.67745813333333,400.00003,79.92494626666667,43.01523113333334,53.1553156,47.1148984,900.00006,143.28544513333333,34.81784526666667,33.2536222,0.0,68.07146746666666,328.5272468
2024-07-18 13:15:00,39.6830514,53.7883944,400.0,93.47144580000001,33.98714806666667,26.340654466666667,400.00003,60.32780253333333,58.11400226666667,61.27260793333333,43.518768666666666,900.00006,162.90537886666667,51.8127924,47.82685053333333,0.0,99.63964293333333,316.7046272
