model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
random_forest,XS,1,no_limit,16.433496374943328,17.028297758772712,11.553556928674274,12.071796785065754,0.9773955011671579,0.9757295735446377
random_forest,XS,1,with_limit,16.477712258326132,17.235784779462506,11.584819679633302,12.250349481013613,0.9772736984227399,0.975134507762032
random_forest,XS,2,no_limit,26.600359374982833,27.142821124320104,18.779027364118438,19.320742013335472,0.9407743352290323,0.9383341240050788
random_forest,XS,2,with_limit,26.570500233919418,27.14532930445192,18.72463707580899,19.307046120958518,0.940907223278869,0.9383227267910228
random_forest,XS,3,no_limit,34.40001639562615,35.112462473884264,24.663603549705652,25.089017596365817,0.9009794531501909,0.8968354240394019
random_forest,XS,3,with_limit,34.25640933072112,34.938384381117956,24.504336236033343,24.94805737377143,0.9018044741774063,0.8978558124822257
random_forest,XS,4,no_limit,40.91833063268926,42.1474911881154,29.58860573772754,30.202152925133113,0.8598981610423908,0.8513545985100239
random_forest,XS,4,with_limit,40.7378720813827,41.609840455474504,29.469383271031838,29.930052122861575,0.8611311939513153,0.8551227737910752
random_forest,XS,5,no_limit,46.717229815626325,47.81634763962422,34.02383085744527,34.605886379105065,0.8173741768454248,0.8086798018979916
random_forest,XS,5,with_limit,46.4038231932126,47.16531684361486,33.82678718192511,34.186980766833756,0.8198162803601992,0.8138540747929164
random_forest,XS,6,no_limit,52.02824801582889,53.39236154033714,38.158705921531634,38.76794985656752,0.7734904981394951,0.7614572171206935
random_forest,XS,6,with_limit,51.7735863095917,52.60783830694618,37.897160444103754,38.267896882879505,0.7757024552102776,0.7684157953654417
random_forest,XS,7,no_limit,56.86499290648129,57.97709418026594,41.8518483401841,42.322326006633304,0.7294185623622844,0.7187316207646051
random_forest,XS,7,with_limit,56.724651116835396,57.3642875502035,41.69701090907323,41.90454774240992,0.7307524946053332,0.7246461015659612
random_forest,XS,8,no_limit,61.25124764139381,62.285278572836994,45.349798268527294,45.74786170722871,0.6861429278663007,0.6754565394459529
random_forest,XS,8,with_limit,61.202683447658686,61.765706696173496,45.24604285496575,45.32253393849787,0.686640425426122,0.6808485147432852
