station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,3,41.04724526169467,27.481305484738996,12551276089.04305,0.8671546542363457
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,4,59.1606430499965,38.762421035294174,7937904877.755793,0.7240413048540011
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,5,63.272202477891874,43.39407398084589,15520889593.65378,0.684351147013549
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,6,72.02495306264652,48.0514097514041,13077270821.09389,0.5909802501946303
XYA,mlp,with_limit,XYA_ACTIVE_POWER_STATION,7,73.27848351646313,51.6427418150832,37504481497.049904,0.5766191045660378
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,1,8.767802705754097,5.6145569140281,1521029146.5341523,0.976283229751446
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,2,14.5128270598675,9.132581424364504,1662003931.36848,0.9350202480396038
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,3,19.19199279297721,12.629614466702183,6057644587.192032,0.8863308895832223
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,4,24.287942531326472,16.00213557232298,4394091646.1350765,0.8179528976390325
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,5,26.870361690036347,17.99767909144845,4783612848.742608,0.7771824769556539
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,6,31.43517426321783,21.204723683461346,6801794358.863693,0.695046191233514
XYA,mlp,no_limit,XYA_ACTIVE_POWER_JIA,7,32.61282140091718,22.703287872677205,10628916060.563652,0.6717694037421623
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,1,9.128444605950802,5.627947851283128,1118112522.3060045,0.9741475468110675
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,2,14.519392171062803,9.077368740541385,1944773595.852396,0.9345958865794104
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,3,19.42605534566656,12.347057459821713,1603757416.2566032,0.8829498298475903
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,4,22.042827601336512,14.541715604090694,5540433934.634803,0.8492916156963825
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,5,26.880733810249094,17.7819273574145,4581453348.093271,0.7758777125302234
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,6,30.141987551185533,20.321364245796595,5872383578.899824,0.7181963731899698
XYA,mlp,no_limit,XYA_ACTIVE_POWER_YI,7,32.841097973561645,22.104133628426155,3738885826.1889825,0.6654676335195007
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,1,15.873436756124052,9.74068096704285,1752372258.9409962,0.9801329679277014
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,2,27.32917032529371,17.20429886733541,2997845107.794802,0.9411096743917298
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,3,36.89564346030793,23.750938569126493,6212118290.901833,0.8926681812585708
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,4,44.765561943688816,29.325747359173654,9488420068.096907,0.8419966147022497
XYA,mlp,no_limit,XYA_ACTIVE_POWER_STATION,5,52.3688774141484,34.44495848996251,10403553704.862974,0.783765573048415
