model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
ridge,XS,1,no_limit,15.716133403543163,15.531817585133714,10.739205627916055,10.600899572460179,0.9793259125411921,0.9798079925138923
ridge,XS,1,with_limit,15.704914891291345,15.5216321062943,10.738452565154875,10.599028921224933,0.9793554172187495,0.979834466920781
ridge,XS,2,no_limit,25.53898383336377,25.316708178314688,17.751725209122824,17.5532635364895,0.9454063460749211,0.9463525100384158
ridge,XS,2,with_limit,25.501605908072882,25.28036943671382,17.73919050123717,17.54161762248767,0.9455660316958544,0.9465064070736277
ridge,XS,3,no_limit,33.2609196879584,33.02332293636523,23.42801323997138,23.213617604196465,0.9074286646519125,0.9087464929175113
ridge,XS,3,with_limit,33.195345702750124,32.9596412176448,23.39796915913253,23.184273773557198,0.907793314075574,0.9090980975747275
ridge,XS,4,no_limit,39.723515203871905,39.50140922348748,28.183738685387027,27.969050440658826,0.8679606531645634,0.8694330677381494
ridge,XS,4,with_limit,39.6250754068733,39.405377222745905,28.129550485609215,27.91432994166956,0.8686142620506239,0.8700671394162187
ridge,XS,5,no_limit,45.37807903824991,45.14682244856136,32.4863228807799,32.253849238078516,0.8276940654099914,0.8294458076368629
ridge,XS,5,with_limit,45.24555768531201,45.0170719462556,32.41452662208542,32.18418601661961,0.8286989943858889,0.8304247333379399
ridge,XS,6,no_limit,50.506164099894626,50.27246989684742,36.56197757638866,36.32890954556745,0.7865496888378644,0.7885204065879673
ridge,XS,6,with_limit,50.34053677705176,50.11009290398966,36.47282844248277,36.23805185964408,0.7879473493605317,0.789884332545414
ridge,XS,7,no_limit,55.288550998555195,55.063798833997936,40.19311454252703,39.96522837120404,0.7442130181442836,0.7462883783726753
ridge,XS,7,with_limit,55.09271959181313,54.871407372171404,40.07777684119092,39.85394208979934,0.7460217981715729,0.7480582045367281
ridge,XS,8,no_limit,59.598503591864855,59.38101275075053,43.59786508132694,43.37426019711676,0.7028520411434604,0.7050168283481755
ridge,XS,8,with_limit,59.37189446396355,59.15841505790914,43.461698426331765,43.23962571646513,0.7051074140259691,0.7072242511561673
ridge,XS,9,no_limit,63.60030972665461,63.38390628631961,46.794743567534354,46.57045717748285,0.6616076771884492,0.6639065552889037
