station,model,limit_mode,target,step,rmse,mae,mape,r2
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,48,52.6762280613838,42.79472715173156,68987821900.13588,0.1428054131783938
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,49,52.57774942584632,42.73835316683147,69492364308.16496,0.1460074816943191
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,50,52.45089269953677,42.655052023428375,70137152187.15627,0.15012344345855044
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,51,52.32440235863454,42.56773447891678,70814583769.35916,0.15421761784361743
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,52,52.22518019286796,42.47747286422263,71574449134.28505,0.15742227140242704
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,53,52.16189984589061,42.41885926123003,72444579446.7128,0.15944094581305657
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,54,52.142410410122224,42.39314065977025,73202355749.58743,0.16006895059463255
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,55,52.09649771855083,42.3274439600511,73761953297.73659,0.16154745981007557
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,56,52.034592255598135,42.22941036430536,74139019244.86122,0.1635389162842964
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,57,51.94446816382217,42.141906429492984,74335886897.31383,0.16643391395473162
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,58,51.819053554211564,42.03998011421361,74439883083.87463,0.1705437501353435
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,59,51.675596303595555,41.89244752747186,74632499380.45067,0.17512997065932434
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,60,51.51005867437903,41.71256103720388,74548370008.79295,0.18040628409980008
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,61,51.341832223792714,41.56743200121517,74503754735.4565,0.18575095653158047
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,62,51.145870615512855,41.418750894270254,74618421099.12349,0.19195474933656154
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,63,50.976097906961755,41.304433136592664,74831366186.15634,0.19742800976411712
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,64,50.822924449775904,41.154797802500525,74954210366.84227,0.20224391512840256
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,65,50.68717663028447,40.98113170936135,74881807838.28142,0.20649983012091866
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,66,50.54620670751409,40.79581524119217,74859335811.83191,0.21090741856576045
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,67,50.43358123115597,40.62959901153922,74914527742.21275,0.2144199637331471
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,68,50.34117918933929,40.497234377197536,74901541195.8084,0.21733684386638308
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,69,50.25732488113262,40.427350360467045,74874372834.77307,0.21994206759136192
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,70,50.18243161848933,40.36564293972033,74733098375.52835,0.22226521369257046
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,71,50.12188308269284,40.318926553225545,74673861004.15335,0.22414086188076876
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,72,50.0461113065691,40.24353902869521,74435504222.18748,0.22648489944453443
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,73,49.950418519897575,40.129527545883725,74191717694.03697,0.22948601003197389
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,74,49.87888768334475,40.035479045403974,73958538260.77771,0.23169123866432906
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,75,49.82216819820851,39.97346075235862,73769349228.04846,0.23343760078721087
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,76,49.76400141630894,39.91550713554378,73467322219.98685,0.23522646069632835
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,77,49.698365499424106,39.82734329059048,73013473043.28894,0.23724251679232256
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,78,49.62018527376868,39.73799796590002,72598355805.71472,0.23968273339381652
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,79,49.552435840724556,39.6595524497439,71925755536.5463,0.2417575300871566
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,80,49.4946648864414,39.59164152270866,71247342887.80286,0.24352450099537937
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,81,49.440649452670556,39.51604296606417,70689874359.26546,0.24517474170418507
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,82,49.39120077700839,39.479311222349864,70350442457.56886,0.2466838822275278
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,83,49.33242558732777,39.40828165870556,69934267256.61755,0.24847497759117854
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,84,49.30847738323424,39.364269609110686,69468132804.79138,0.24920444937200936
XYA,ridge,with_limit,XYA_ACTIVE_POWER_JIA,85,49.282967416483764,39.31765079909505,69021611650.43163,0.24998110345514235
