model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
lightgbm,XS,10,no_limit,68.92961363831736,68.98767755685289,50.708864836181355,50.55064851844696,0.5987553938724284,0.5980791200465085
lightgbm,XS,10,with_limit,68.58287368957065,68.88208164046775,50.48861481597395,50.829198493671505,0.6027820406756574,0.5993085779393656
lightgbm,XS,11,no_limit,72.71362036723495,72.84202933942647,53.42946530709046,53.496971557831515,0.5535371764117945,0.5519589176768495
lightgbm,XS,11,with_limit,72.33793738429958,72.49439172145377,53.175235632234624,53.54854829610795,0.5581386579658939,0.5562252530455037
lightgbm,XS,12,no_limit,76.34770002381778,76.44070771005198,56.183290627934774,56.283592561942214,0.5077953847914882,0.5065954351780768
lightgbm,XS,12,with_limit,75.79829146345395,76.045701918107,55.86722119584169,56.251980854682984,0.5148538406204277,0.5116815758448565
lightgbm,XS,13,no_limit,79.94515145053963,79.82857622808427,59.01434083848636,59.00141424794749,0.46031788745042157,0.46189065806178253
lightgbm,XS,13,with_limit,79.240269258129,79.63623048556074,58.60448688066475,59.036545118993324,0.4697927647225173,0.46448066658543885
lightgbm,XS,14,no_limit,83.34194472005372,83.18576576782554,61.770714008640226,61.58414302565745,0.41359412673759266,0.41578986245851157
lightgbm,XS,14,with_limit,82.48935117164461,83.13664622412351,61.24702431888539,61.765535639503206,0.42553069779334907,0.4164795877466817
lightgbm,XS,15,no_limit,86.11904791194434,86.12061104915166,64.0093412270774,63.90883994808719,0.3738628231355611,0.37384009303753374
lightgbm,XS,15,with_limit,85.46746342922064,85.8564973814325,63.69141607978337,63.932041740718546,0.38330180015217263,0.3776748034253776
lightgbm,XS,16,no_limit,88.870437930896,89.24196784064948,66.19712408527168,66.36133944109167,0.33339114016189253,0.32780586732726025
lightgbm,XS,16,with_limit,88.0050493587499,88.9459133865261,65.57936523208762,66.32639983260555,0.3463103289964432,0.3322583906623028
lightgbm,XS,17,no_limit,91.63565319909496,91.84078395977483,68.3956206708517,68.45688907653614,0.29126251865115116,0.2880858820926593
lightgbm,XS,17,with_limit,90.69992277818946,91.35421365152608,67.64631613380507,68.14004437215944,0.3056630528550299,0.29560930811888597
lightgbm,XS,18,no_limit,94.22209027917057,94.76020491494283,70.41051969318491,70.6724829769922,0.25068934134389775,0.24210607944085683
lightgbm,XS,18,with_limit,93.24404923239743,94.20849953364937,69.55504581971533,70.30875821613996,0.2661645444917963,0.2509054892979926
lightgbm,XS,19,no_limit,96.60085787618257,97.18289781612934,72.38960215025169,72.61834037712653,0.21261457104664339,0.20309766979517496
lightgbm,XS,19,with_limit,95.86819978381,97.10054550367622,71.52304413832822,72.55496306883366,0.22451294674742384,0.2044476798334096
lightgbm,XS,20,no_limit,99.06072224809263,99.93984692655405,74.32533834334285,74.8791358686902,0.17200371670384418,0.15724222668158894
lightgbm,XS,20,with_limit,98.42824615212534,99.17405707892003,73.51024411280714,73.98834860280083,0.18254303121230664,0.1701080208529342
lightgbm,XS,21,no_limit,101.17704289124491,102.33915994196974,76.09609812584713,76.8128477758951,0.13653266715427093,0.11658322243500718
lightgbm,XS,21,with_limit,100.72308366434869,101.81844324120067,75.32084044354298,76.16361185311801,0.1442636620484551,0.12555026049029916
lightgbm,XS,22,no_limit,103.48556784596641,104.8412784394011,77.87689334319784,78.9876688180188,0.09668021666369764,0.07285734141070643
lightgbm,XS,22,with_limit,102.79836269266059,104.20864976104416,76.89444550434894,78.10346723500797,0.10863753394012965,0.0840126309175745
lightgbm,XS,23,no_limit,105.51088421744251,106.98224286756252,79.44646100778735,80.68576843209287,0.06097647475846657,0.03460433418185571
lightgbm,XS,23,with_limit,104.61762609184161,105.91856758762145,78.30596290932162,79.36948395173226,0.07680877089861837,0.05370587181724362
lightgbm,XS,24,no_limit,107.597944759538,109.20114586440054,81.02860803845093,82.39868846311394,0.023782164115294435,-0.005525705177416462
lightgbm,XS,24,with_limit,106.64158441250301,107.45632928247578,79.78111053649707,80.50989616048145,0.041058830717232264,0.026350179281583563
lightgbm,XS,25,no_limit,109.66456537047972,111.15256081394872,82.58250805402557,83.76927284504848,-0.014078160696873843,-0.04178411675632865
lightgbm,XS,25,with_limit,108.30588750484074,109.37760257169435,81.04184284107319,81.90336696047214,0.010893815550557795,-0.008777962440078335
lightgbm,XS,26,no_limit,111.25564810541313,112.90154435725714,83.78326638974384,85.02366774880167,-0.04338397949333972,-0.07448360524639486
lightgbm,XS,26,with_limit,110.24584129150858,111.16472205902579,82.43836540573848,83.1800433653498,-0.024529481408032794,-0.04167922087385434
lightgbm,XS,27,no_limit,112.85815865536057,114.57489594338689,84.9075884261852,86.1180233833114,-0.0736579607675174,-0.10657020162952646
lightgbm,XS,27,with_limit,111.67271046363025,112.67962818059426,83.50897112681322,84.210638787474,-0.05122127714293456,-0.07026380552341949
lightgbm,XS,28,no_limit,114.04275793862134,115.78503620970963,85.50521752398978,86.75176880974479,-0.09631523931706698,-0.1300688391455589
lightgbm,XS,28,with_limit,113.21088755753284,113.97361608895639,84.45154620271919,85.09926979062844,-0.08037970799654692,-0.09498629416640836
lightgbm,XS,29,no_limit,115.55026526297995,117.03968068947452,86.44146978230032,87.58172459752109,-0.12512634148399582,-0.15431849837051126
lightgbm,XS,29,with_limit,114.6498398061914,115.63958438596815,85.3724144695369,86.29852386589268,-0.10765956827753231,-0.12686643509157713
lightgbm,XS,30,no_limit,116.67277148825136,117.93372363095489,87.03884547217864,87.92177474259431,-0.14709246680998733,-0.17202107515054288
lightgbm,XS,30,with_limit,115.91735350728726,116.50121952915256,86.08012006885683,86.6923243381484,-0.1322864584940242,-0.14372164972028356
lightgbm,XS,31,no_limit,117.72292444549204,119.30310235008203,87.63258248918613,88.83311238146068,-0.16748257820944645,-0.19903482902281833
lightgbm,XS,31,with_limit,117.07921488783869,117.57175467063206,86.85178460575555,87.18444392038613,-0.1547498833543497,-0.16448613951518398
lightgbm,XS,32,no_limit,119.18592135014414,120.5395085741125,88.6467649848322,89.36157868737943,-0.19668057175680853,-0.224016175910988
lightgbm,XS,32,with_limit,118.19328619450114,118.66750837098192,87.59352393021204,87.9100853709157,-0.17683056531206987,-0.18629301024989786
lightgbm,XYA,1,no_limit,14.337112808260482,14.563994035181405,8.708706621788785,8.901317334243988,0.98371495711816,0.9831954655065316
lightgbm,XYA,1,with_limit,14.217299644658706,14.414929880518057,8.707264837549545,8.832545696583226,0.9839860032824195,0.9835376977922554
lightgbm,XYA,2,no_limit,26.33869561028678,26.416154977028953,16.53410098163033,16.689861390946305,0.9450342640022551,0.9447104915754121
lightgbm,XYA,2,with_limit,26.13598210676642,26.240939962620903,16.48317268846936,16.62990410947947,0.9458770862298521,0.9454415157437733
