model,station,step,limit_mode,RMSE_sum,RMSE_direct,MAE_sum,MAE_direct,R2_sum,R2_direct
mlp,XS,45,with_limit,137.2120522900555,132.33061982502434,102.26351858975919,99.74257716532638,-0.5801416188033881,-0.4697118135482601
mlp,XS,46,with_limit,138.50275096665337,123.71090732571743,103.58458569092342,93.17243403508958,-0.6100089515662501,-0.2844803828402227
mlp,XS,47,with_limit,138.9210102515151,135.4587962229579,103.62757728403298,101.50225432336845,-0.6197476459611553,-0.5400184198113729
mlp,XS,48,with_limit,137.8370938082348,139.47015313043474,103.37128052566271,104.10467799351869,-0.5956240214688391,-0.6336571044226964
mlp,XS,49,with_limit,134.8908695573373,130.93304856669758,99.1449156335926,96.81466280440303,-0.5281411087346541,-0.4397825643316142
mlp,XS,50,with_limit,139.24409697754288,135.96581702241937,103.30880528286215,100.34781893383577,-0.6283656646598978,-0.5525937148111693
mlp,XS,51,with_limit,141.80732256088447,135.48928109686742,105.66221781472471,100.8438458934191,-0.6888678361920768,-0.541729658701761
mlp,XS,52,with_limit,139.04413611989204,138.259819364704,103.58864173358808,102.30844781013965,-0.6236922083772181,-0.6054261051533929
mlp,XS,53,with_limit,137.38080698248103,135.49984471389143,102.30382570171813,100.8029704301828,-0.5861212773532278,-0.5429855532971235
mlp,XS,54,with_limit,141.99755761931578,142.81635301698032,105.7877480653242,106.06562088511403,-0.6945173265575559,-0.7141157372694491
mlp,XS,55,with_limit,141.03924973061055,137.5111636593573,104.97420308242128,101.72999615044074,-0.6717227124250771,-0.5891327546969283
mlp,XS,56,with_limit,141.2971655110157,138.398847249273,105.17455025169401,102.7588526683435,-0.6778423975368448,-0.609715813494087
mlp,XS,57,with_limit,144.32041908969714,139.10356870090254,106.56980889840739,102.6384182615942,-0.7504101683951059,-0.626150768706041
mlp,XS,58,with_limit,143.62102242949837,143.178169256964,105.86814028755839,105.54913187429769,-0.7345642754082058,-0.723883763894402
mlp,XS,59,with_limit,139.92627989125998,136.26095661153548,103.55496066142626,101.67804177054315,-0.6464666769346752,-0.5613391024977605
mlp,XS,60,with_limit,125.40401208401478,119.2391117558132,94.03069389889174,89.8878632663338,-0.3224438209618481,-0.19561631787467548
mlp,XS,61,with_limit,138.12844248359715,140.9547156077125,101.56737289959196,103.09238688416303,-0.6044293533998861,-0.6707581513442744
mlp,XS,62,with_limit,139.9345748225818,127.20380369219598,101.9461591362364,94.06847704765748,-0.6466618901973675,-0.3606755003456519
mlp,XS,63,with_limit,140.72943389649407,131.9324954377331,102.54648482711175,96.81484573993752,-0.6662805136044168,-0.46447441276907275
mlp,XS,64,with_limit,140.55124833282213,130.91268516457444,102.20196556779344,96.31815704840304,-0.6620636392973385,-0.4419217599081384
mlp,XS,65,with_limit,137.46892162371964,136.83135040973187,100.87389840758375,100.62669237182324,-0.5899639807112791,-0.5752498986730596
mlp,XS,66,with_limit,135.00529117340278,134.31044744744116,99.66759423578122,99.0335552516841,-0.5334859943762886,-0.5177415583499014
mlp,XS,67,with_limit,135.93053286073152,137.82321378752363,99.48550354074574,102.33148448180431,-0.5545771248721536,-0.5981700198780338
mlp,XS,68,with_limit,135.41215800356557,135.47928788288843,99.1509193270795,98.79160382286236,-0.5434372530632079,-0.5449679345074405
mlp,XS,69,with_limit,138.24621734525363,141.00155150046643,101.67392430113652,104.34706815091826,-0.6087189362749588,-0.6734835302787008
mlp,XS,70,with_limit,136.53129090377658,137.1256471490715,100.8453594136131,100.76345261427372,-0.5690545866823835,-0.5827453276499144
mlp,XS,71,with_limit,139.8713691024248,139.70290498982965,102.12190237790045,102.27632398171696,-0.6467638000476061,-0.6427993927738243
mlp,XS,72,with_limit,135.8545397387221,140.7440073625541,99.81708835532746,103.87401184071051,-0.5535383218366792,-0.6673757640277556
mlp,XS,73,with_limit,136.68278682438358,135.78184528379106,100.05332048840951,100.40599378448574,-0.5733628339858563,-0.5526896207390724
mlp,XS,74,with_limit,137.82802195097042,134.68565197341084,101.11073014197419,99.34802697656528,-0.599839015295675,-0.5277204875058155
mlp,XS,75,with_limit,139.09973980282433,134.77482388099574,101.94782083618618,99.1082958440223,-0.6294981516257117,-0.5297440860887142
mlp,XS,76,with_limit,137.86672063200712,136.58085434525458,100.7125961019688,100.05846237956163,-0.6007375314393983,-0.5710170086377593
mlp,XS,77,with_limit,138.06570302481626,137.12154337573114,100.77583405897971,99.86697551557877,-0.6053615399165009,-0.5834801464591519
mlp,XS,78,with_limit,135.75617313876694,137.9875779133643,99.74883533299855,101.28613095079132,-0.5524590174569131,-0.6039135387614323
mlp,XS,79,with_limit,138.04193701155975,133.8942452433696,100.63414637840432,98.23143584310917,-0.6051774853896188,-0.5101663646408776
mlp,XS,80,with_limit,135.6064891806328,139.92328865187258,99.23190379646543,102.3792375411641,-0.5490374404371721,-0.6492290577189876
mlp,XS,81,with_limit,130.97540822757293,136.76435110709608,96.06542693964991,99.8067917642613,-0.4450420720651562,-0.5756029624520664
mlp,XS,82,with_limit,132.06470047836794,131.2628257725865,96.78744431392735,96.17156257839953,-0.4691781866852862,-0.45139114414037596
mlp,XS,83,with_limit,134.5746722407605,133.46376970531952,98.35227325043186,97.78126116420532,-0.5254810998445276,-0.5003996167895091
mlp,XS,84,with_limit,129.74228593629812,134.84096216971398,94.97498589105489,98.41921625709989,-0.41789235467635333,-0.5315241709742968
mlp,XS,85,with_limit,138.3556910800527,137.32003247344724,101.40507954940252,100.71830008462699,-0.6124053322650793,-0.5883564270030404
mlp,XS,86,with_limit,134.00562218430895,138.1203386484884,98.29747401884337,101.72978233092103,-0.5126073582947437,-0.6069243759121694
mlp,XS,87,with_limit,125.3191420230324,124.34856895718976,92.40648446426455,92.7078303274245,-0.3228633837074495,-0.30245207813631225
mlp,XS,88,with_limit,129.29555210946558,123.84535870745998,95.98317100845236,92.57851977236419,-0.40806940951601,-0.2918627156368383
mlp,XS,89,with_limit,127.01939643842238,123.13677902111989,94.25356785016389,92.36305984368909,-0.35892967679307786,-0.277122252243867
mlp,XS,90,with_limit,125.86824064389785,129.3420918882461,94.281095862376,97.00995188488986,-0.3344097823664369,-0.4090832577374304
mlp,XS,91,with_limit,124.72788509192763,128.44000175895485,93.51450050834211,96.72477415028972,-0.31034003526201315,-0.3894966344346733
mlp,XS,92,with_limit,124.85048685892502,129.7719991864743,94.15670778449974,97.55987778555563,-0.31291730913063875,-0.41846584781842067
mlp,XS,93,with_limit,125.71348038743571,125.83459624438339,94.67644459444375,95.18817445558915,-0.33085182777399114,-0.33341742225494175
mlp,XS,94,with_limit,128.598383076433,126.51074465248564,96.91066432454274,94.92421718744504,-0.3926340882309105,-0.34778565405877004
mlp,XS,95,with_limit,127.65001997584648,128.08628105997315,95.97535589505122,96.88044597047528,-0.37216955606832824,-0.38156473074210395
mlp,XYA,1,no_limit,16.223244438596844,15.873436756124052,10.070475376135265,9.74068096704285,0.9792476881726855,0.9801329679277014
mlp,XYA,1,with_limit,19.984743127563227,20.485832794690005,14.113684452640287,13.85721349191798,0.9685088731130191,0.9669098825781867
mlp,XYA,2,no_limit,27.02353933518857,27.32917032529371,16.852788021703454,17.20429886733541,0.942419488455452,0.9411096743917298
mlp,XYA,2,with_limit,32.86319482527947,33.057410262158506,22.854368225451545,22.777779826377987,0.9148449077279126,0.9138354317420162
mlp,XYA,3,no_limit,36.29400701694431,36.89564346030793,23.389304599292384,23.750938569126493,0.89614004057876,0.8926681812585708
mlp,XYA,3,with_limit,41.654450682683866,41.04724526169467,27.326032145692736,27.481305484738996,0.8631952634632802,0.8671546542363457
mlp,XYA,4,no_limit,43.3704751479554,44.76556194368881,28.541443141783525,29.325747359173654,0.8516912853204321,0.8419966147022497
mlp,XYA,4,with_limit,56.65780403067469,59.1606430499965,37.749714228267855,38.762421035294174,0.7468967121680763,0.7240413048540011
mlp,XYA,5,no_limit,50.59818975173629,52.36887741414841,33.73992284040122,34.44495848996251,0.7981409292577173,0.783765573048415
mlp,XYA,5,with_limit,57.15274057899588,63.272202477891874,39.04739028168315,43.39407398084589,0.7424554098379643,0.684351147013549
mlp,XYA,6,no_limit,57.23384320428722,57.26239575464916,38.62532539350272,38.59911748952584,0.7417239536586545,0.7414661943026374
mlp,XYA,6,with_limit,67.53375709387842,72.02495306264652,46.619301739049675,48.0514097514041,0.6403996268578235,0.5909802501946303
mlp,XYA,7,no_limit,61.56617672692236,61.17948339162724,42.2197461307142,42.30264928062745,0.7011435177759762,0.7048859258698474
mlp,XYA,7,with_limit,72.30326906161794,73.27848351646313,49.32179001444785,51.6427418150832,0.5878131066658986,0.5766191045660378
mlp,XYA,8,no_limit,67.06313017584989,66.30783884041978,46.54280927514689,45.62408790624006,0.6454152493060278,0.6533572189532537
mlp,XYA,8,with_limit,76.37795961501378,72.91018176091525,52.38549534086055,52.08806831956937,0.5400734100133824,0.5808892739687523
mlp,XYA,9,no_limit,71.32226461075055,70.94932916419373,49.3254417430074,49.658981716394756,0.5989461752140044,0.6031293332710036
mlp,XYA,9,with_limit,78.48994611398928,77.01993899900603,54.084123116149655,52.45178581994587,0.5142861632079554,0.5323092780947996
mlp,XYA,10,no_limit,74.93515177051655,74.09845972385929,52.863389569610305,51.73670314491537,0.5572856530722448,0.567116756842662
mlp,XYA,10,with_limit,81.74709316595586,81.66961194551452,57.19555912899497,56.27239705946712,0.4731377879361376,0.4741360517219835
mlp,XYA,11,no_limit,78.15319646581912,79.64893509520995,56.06106210349501,55.952318574251784,0.5184449911365048,0.4998360788395161
mlp,XYA,11,with_limit,85.61050334413176,82.49100104475345,60.03713002026751,56.14354476133755,0.4221614464347987,0.46350514484533867
mlp,XYA,12,no_limit,79.99471287929124,80.81502979762891,57.045248247054914,58.1609428277866,0.49548395601164175,0.48508364230106993
mlp,XYA,12,with_limit,88.32821181468846,80.39696928093221,61.73916546575341,55.78755198699135,0.38489212037446563,0.49039724318084177
mlp,XYA,13,no_limit,83.58373093973579,83.0066874445076,59.980302628166626,59.278827862191925,0.44921355553174735,0.4567923181801534
mlp,XYA,13,with_limit,89.90283933827908,82.22497959965382,63.800555371031066,58.238864685555015,0.36278417423814957,0.4669753591777418
mlp,XYA,14,no_limit,85.21535979103982,81.53528742151411,61.29084231752122,58.98847839872048,0.42749998636805286,0.47587973692872787
mlp,XYA,14,with_limit,90.57483966161844,91.72876012755009,64.25173923908108,63.12963149655873,0.3532225270105097,0.3366377033650457
mlp,XYA,15,no_limit,87.57814938707136,91.16434655125192,62.903241101066065,64.99291769602296,0.39531211835310476,0.34477601893659016
mlp,XYA,15,with_limit,91.66204949348014,87.33793810988864,64.78943064842124,63.37515102864114,0.3376022258885454,0.39862467172415816
mlp,XYA,16,no_limit,91.45316809425161,90.48887523930898,65.32128210837621,65.48371953831452,0.3406177578976928,0.3544496551439904
mlp,XYA,16,with_limit,93.91515995600128,84.89372507301191,68.32877883634903,63.86833069741164,0.30463769790265216,0.43181348998947267
mlp,XYA,17,no_limit,94.64792242064829,89.48118131254726,68.19266429948448,65.11675158309372,0.2937443939711465,0.368747435846706
mlp,XYA,17,with_limit,97.38448038071026,88.66143868589752,71.08442211344665,64.9328298398423,0.25231401514921836,0.3802603453708704
mlp,XYA,18,no_limit,94.5243415222408,91.69587048707761,69.16137831699275,67.04446050839053,0.29555582406434944,0.3370835179043059
mlp,XYA,18,with_limit,97.42233872814087,91.34685210352404,71.22713141651359,68.33225337414481,0.2516989342873518,0.342120379661502
mlp,XYA,19,no_limit,99.12759951796839,99.77868093494722,72.73042897587871,72.56167886954483,0.22527344852139197,0.2150630414325696
